text,anotacja - Filip,anotacja - Kacper,anotacja - Piotr,anotacja - Szymon
"Świnoujście buduje formę na lato! Na powietrzu jest najzdrowiej i najbezpieczniej. Mamy dobrą infrastrukturę sportową, której wciąż przybywa 🏀🏸⚽🚴🧗🤾🏊i potężne, ""zielone płuca"". W 90% nasze wyspy porasta zieleń. Ja od lat wybieram tutaj tenis 🎾 #nowypoczatek #turystyka",positive,positive,positive,positive
#Kowalczyk Prezydent jest gwarantem prowadzenia obecnej polityki społecznej. Opozycja nie ma moralnego prawa do krytykowania naszej polit. zdrowotnej w obliczu 50 proc. wzrostu wydatkow na ochronę zdrowia.,ambiguous,positive,ambiguous,ambiguous
Pytanie jest jedno. Był w Crocsach czy nie? 🐊🐊,neutral,ambiguous,ambiguous,neutral
"Ministerstwo Infrastruktury i Budownictwa (MIB) przekonuje, że od listopada ub.r. podpisano z wykonawcami 26 umów...",neutral,neutral,neutral,neutral
"Wicepremier Sasin: ""nie ma możliwości zablokowania importu węgla z Rosji"". Przez 3 lata firmy związane z Kremlem zarobiły na eksporcie węgla do PL 3,4 mld zł, a polscy rolnicy nie mogą sprzedać w Rosji nawet jednego jabłka. Na embargo stracili min. 3 mld EUR a PiS nie robi nic",negative,negative,negative,negative
"Hm... Pierwsze słyszę, ale chyba nic to.",ambiguous,neutral,ambiguous,ambiguous
Najgorszy koszmar opozycji. Biała flaga już wywieszona? #Duda2020 #PrezydentPolskichSpraw,positive,negative,negative,ambiguous
lampy ledowe na Nysy Łużyckiej już świecą! Widać różnicę :-) w kosztach eksploatacji też ją miasto odczuje! Czas na kolejne ulice.,positive,positive,positive,positive
Zobacz ten film -- Idź i głosuj świadomie! 1 via,positive,positive,positive,positive
T. Piketty: Potrzebujemy państwa opiekuńczego nie zamordystycznego #Lewica #Polska2020 #Świat2020 #polityka,ambiguous,negative,negative,positive
"2/3 Jeśli w tym przypadku zaszło podejrzenie o popełnieniu jakiegokolwiek przestępstwa, to jestem przekonany,",ambiguous,neutral,neutral,ambiguous
Poranna rozmowa w - między innymi o skutkach silnego wiatru który pojawił się w nocy nad Małopolską,neutral,neutral,neutral,neutral
➡️ Komentarz dla #TVPBiałystok w temacie wyników wyborów w województwie podlaskim dla poszczególnych komitetów #Lewica #ŁączyNasPrzyszłość ✌,positive,neutral,neutral,positive
"Krótka przypowieść o normalności - czyli papież w ławce na Mszy Świętej, tak po prostu, wśród ludzi. Pokażcie mi niektóre koronowane głowy polskiego Kościoła.",positive,ambiguous,ambiguous,ambiguous
"Moja opinia o kolejnej części ""raportu"" #Macierewicza, zapraszam na bloga",neutral,positive,negative,neutral
Na spotkaniu członków SITG też rozmawiamy o #popieramKomorowskiego,positive,positive,neutral,positive
Składam szczere wyrazy współczucia dla rodzin ofiar zamachów terrorystycznych w Paryżu. Jesteśmy dziś z Francuzami myślą i modlitwą.,negative,positive,negative,ambiguous
"Dla poprzedniej władzy kluczowy był rozwój dużych metropolii, a mniejsze miasta pozostawały na uboczu inwestycji i rozwoju. Zmiana strategii wzrostu na zrównoważoną sprawia, że tysiące miast, miasteczek może iść do przodu.",positive,ambiguous,positive,ambiguous
Koniec z mafiami drenującymi Polskę. Opozycja nam w tym nie przeszkodzi.,positive,positive,positive,negative
Jednym z podstawowych plusów ordynacji wiekszościowej jest jej wpływ na charakter partii politycznych. Partyjna ordynacja skutkuje autorytarnym charakterem partii. Ordynacja większościowa- konsensualnym.,positive,positive,neutral,neutral
Człowiek się całe życie uczy...,ambiguous,ambiguous,ambiguous,ambiguous
Proszę serdecznie pozdrowić mamę.,positive,positive,positive,positive
Coraz bliżej decyzji Rady Warszawy o trwałym usunięciu komunistycznego pomnika Czterech Śpiących. Działamy.,positive,positive,positive,positive
Viktor Orban: Nikt nie ma prawa mówić nam jak maja wyglądać rządy prawa ! Dziekuje Polsko. #SzczytUE,positive,positive,positive,positive
"Wczoraj odwiedziłem powiat jarosławski (Łazy, Radymno, Skołoszów). Chcemy służyć Polsce z myślą o przyszłych pokoleniach. Wywiązaliśmy się z naszych obietnic. Dlatego hasło kampanii wyborczej jest uzasadnione. Dzisiaj kolejne spotkania. #DotrzymujemySłowa #UczciwySamorząd",positive,positive,positive,positive
"10 lat temu opuścili na zawsze sejmowe ławy i udali się w ostatni lot. Niosła ich Polska, tak jak niosła tych, którym mieli oddać hołd na katyńskim cmentarzu. Pozostała nasza pamięć. #Smoleńsk 10.04.2010 - 10.04.2020 #Pamiętamy",negative,positive,negative,ambiguous
ale wcześniej był debel! Miłego dnia!,positive,positive,positive,positive
"#PolishRadioLondon Jeżeli chcecie i jesteście gotowi - wracajcie. My na was czekamy, tęsknimy. Wiem jaką niepewność wywołał #Brexit. Ale Polacy nie powinni wracać z jednej niepewności do drugiej. Trzeba zacząć myśleć o zmianach systemowych, które pozwolą na bezpieczny powrót.",positive,positive,positive,positive
yyy a co w tym dziwnego? Jest doktorem habilitowanym. Zwyczajowo na takie osoby mówi się per profesor.,negative,neutral,ambiguous,negative
Oglądałem. Trzymam!,ambiguous,positive,positive,positive
"A po co? Szukajcie ""kretów"". Polityka to nie moja sprawa, niezależnie od przynależności partyjnej to fajni ludzie są.",positive,positive,ambiguous,ambiguous
Życzę dużo sił i wytrwałości,positive,positive,positive,positive
"Wśród zwycięzców warszawskiej edycji #BudzetObywatelski takie skarby jak sala rehabilitacyjna dla zwierząt w schronisku ""Na Paluchu"" czy prawie 1 mln zł na ochronę najbardziej wiekowych drzew autorstwa . #Warszawa wybiera zielone projekty 💚 Gratulacje! 👏👏👏",positive,positive,positive,positive
"Wszystkim myśliwym i leśnikom, w dniu szczególnym, dniu Naszego Patrona - św Huberta - pragnę złożyć najlepsze życzenia. 👉Dziękuję za oddanie i ciężką pracę na rzecz polskiego łowiectwa oraz leśnictwa. Darz Bór 👍",positive,positive,positive,positive
Słoneczko zaświeciło..... trzeba zabrać się do pracy :-),positive,positive,positive,positive
Duńskie prawo o odbieraniu pieniędzy migrantom to b. smutna decyzja. Akurat w Miedzyn Dzień Ofiar Holokaustu paralela nasuwa się sama...,negative,negative,negative,negative
"Jarosław Kaczyński: Równouprawnienie kobiet; w tym płace i traktowanie, to poglądy konserwatywne, odwołujące się do cywilizacji chrześcijańskiej – najbardziej życzliwej człowiekowi #RówneTraktowanie #PrawaKobiet",positive,positive,positive,positive
"Zachęcam do zapoznania się z ideami ruchu „Obywatele do Senatu”, w którym mam przyjemność działać: www.obywateledosenatu.pl",positive,positive,positive,positive
dzięki:) witam serdecznie :),positive,positive,positive,positive
Ja jestem jak dobre wino. Nie każdy się zna i nie każdego stać 😀😛😂,ambiguous,positive,positive,ambiguous
Polak Mały,ambiguous,ambiguous,ambiguous,neutral
"Ja jestem z Warszawy, dlatego było mi łatwiej, ale podziwiam te wszystkie osoby, które przyjechały z całej Polski. Zapłacili nam, tak - obiadem w przerwie 😁 pozdrawiam",ambiguous,negative,positive,ambiguous
"Jestem w stałym kontakcie z lekarzami zakaźnikami , epidemiologami, anestezjologami oraz dyrektorami szpitali i NFZ , by na bieżąco reagować na pojawiające się potrzeby.",positive,neutral,positive,neutral
To jest tylko deklaracja woli. Sprawa faktycznego przyjęcia zależeć będzie od władz centralnych.,neutral,neutral,neutral,neutral
"„Odkryliśmy też, że na FB deklaruje poparcie dla Putina”. A nie, No to wszystko tłumaczy. Nie przeszkadzajcie sobie. Róbcie dalej ten swój #EuroWeek... Tak wygląda zmiękczanie i rozmywanie odpowiedzialności w GW.",negative,negative,negative,negative
"Polska może być lepiej reprezentowana w PE. Mamy dobry odważny, realny plan działania. #KonwencjaPiS #PolskaSercemEuropy",positive,positive,positive,positive
"Sam sfinalizowałem. Ze swoich zarobionych pieniędzy w Norwegii, Czechach i w Polsce. Żadnych rubli jak Ty - nigdy nie widziałem mój ulubiony hejterze. Tschüss!",ambiguous,negative,ambiguous,negative
Nie to zagadka logiczna: w którym kredensie i w którym mieszkaniu? Podaj prawidłową odpowiedź 😀 masz 6 prób🤔,ambiguous,neutral,ambiguous,ambiguous
Radni PO kasują wszystkie poprawki PiS do projektu budżetu na rok 2015.,negative,neutral,negative,neutral
Oj chyba komisja #AmberGold albo #KomisjaWeryfikacyjna są bardzo blisko niewygodnej dla prawdy ...,negative,ambiguous,ambiguous,negative
"Opinia publiczna w państwach UE zaczyna się przyzwyczajać do myśli, że rząd PiS wyprowadza Polskę z Unii",negative,neutral,negative,ambiguous
Konferencja prasowa delegacji PO-PSL w Parlamencie Europejskim w sprawie dzisiejszej debaty o praworządności i...,neutral,neutral,neutral,neutral
Po co tworzyć partnerstwo dla współrządzenia Europą jak można powygrażać od hitlerowców i pomarzyć o reparacjach?,ambiguous,negative,negative,negative
Opatów. Powiatowe Święto Policji.,neutral,neutral,neutral,neutral
"mam nadzieję, że nie wezmą z Was przykładu i nie dokończą grabieży #OFE",negative,negative,negative,negative
Trwa wywiad premier Beaty Szydło w Radiu Maryja...,neutral,neutral,neutral,neutral
To jest NIEWIARYGODNE! Minister/ premier nawet ma coś w tej sprawie do powiedzenia?! Czy tylko będzie pokrzykiwał jak zwykle?,negative,negative,negative,negative
"Fruitful meeting with , a new caretaker of , who’s taken the seat after Christine . Bardzo ciekawe spotkanie delegacji z nową szefową Międzynarodowego Funduszu Walutowego. Pierwszą przedstawicielką naszego regionu na tym stanowisku.",positive,positive,positive,positive
#debatajedynki #jedynka #polskieradio #czarnek,neutral,neutral,neutral,neutral
Wygląda nieciekawie👎🏻,negative,negative,negative,negative
Grzegorz Braun: Naprzód Polsko! Zarządzajmy narodową werwą w miejsce obecnego zarządzania strachem! - YouTube,positive,positive,positive,positive
"przecież cała akcja ma miejsce NA SALI KOLUMNOWEJ, czyli dziękuje za potwierdzenie informacji ze każdy mógł wejść",positive,ambiguous,ambiguous,ambiguous
"XXIV Ogólnopolska Olimpiada Młodzieży w sportach halowych. Etap rozgrywek w piłkę siatkową, który miał miejsce w Pile dobiega końca. Wielkopolska reprezentacja na 3. miejscu. W finale walczą drużyny województw: śląskiego ąskiego i pomorskiego.",neutral,neutral,neutral,neutral
"Stanisław Jerzy Lec. Gdy zapachniały fiołki rzekło łajno: ""No cóż, działają tanim kontrastem!""/""rok 2015"" ; dopisek mój: Sz.G./.",ambiguous,negative,ambiguous,negative
Z www już też działa. Dzięki za czujność,positive,positive,positive,positive
"Rok temu, w tym wyjątkowym dniu, razem z radnym odwiedziliśmy por. Mieczysława Wroczyńskiego - uczestnika Powstania Warszawskiego, mieszkającego w #Białystok. Niestety, ze względu na pandemię w tym roku nie mogliśmy się spotkać, dlatego wysłałem do niego list.",neutral,positive,positive,positive
