text,label
"Wiele pokoleń Polaków marzyło o wolnej, bezpiecznej i zasobnej Polsce, będącej częścią wspólnoty wolnych i demokratycznych państw. To wielkie marzenie zrealizowało się za naszego życia. Dorobek tych 16 lat jest wielki, trudno go przecenić. Polska tak pięknie się zmieniła.",positive
"Wysoki Marszałek czyli Wysoki Cenzor wyrzuca dziennikarzy z Sejmu.Dziennikarze służą społeczeństwu ,nie politykom.Trwa protest przed Sejmem",negative
"Z na małych,nocnych zakupach w Opolu ;-) #zyjpopolsku",positive
"Z wizytą w Dębicy, gdzie powstaje nowa siedziba Zespołu Szkół Specjalnych. Inwestycja, która będzie służyć niepełnosprawnym, robi to ogromne wrażenie❗⚽️🏀 Dziękuję za zaproszenie i gościnność Panu Staroście Piotr Chęciek oraz Posłowi Jan Warzecha #ZaprogramowaniNaSport #Dębica",positive
wyjazd nie był finansowany z pieniędzy miasta Wodzisław śląski,neutral
"#debataprezydencka oby Trzaskowski nie walił za bardzo pięścią w stół, bo może znowu coś wypłynie z „Czajki”😂",ambiguous
"Może sobie Pan poczyta dane ornitologiczne. Ponad 3,5 MILIARDA ptaków jest zabijanych na świecie przez koty. Naprawdę nie lubię bezmyślności",negative
Jeszcze takie autorstwa,ambiguous
"Gratulacje dla . Po QS Ranking, gdzie aż 14 polskich uczelni weszło do Top 1000, kolejny dowód na szybki rozwój naszrj nauki.",positive
wadliwe jak to? to co z tymi policjantami,ambiguous
witalność w Vitalny Domek !,positive
"Wybieramy nowego przewodniczącego . Jestem przekonany, że dzisiejsza decyzja poprowadzi nas do zwycięstw, a pierwsze odniesiemy już w majowych wyborach prezydenckich z ✌🏻",positive
Co to za brednie?,negative
Bolid studentów Politechniki Wrocławskiej wystartuje w USA - wDolnymŚląsku.pl,neutral
"Wysłałem/-am 2 zdjęć na Facebook do albumu ""Dolnośląscy parlamentarzyści z wizytą u Prezydenta RP""",neutral
#AnnaFotyga🇵🇱 uczestniczyła dzisiaj w uroczystości podniesienia gdyńskiej Kolegiaty pw. Najświętszej Maryi Panny Królowej Polski do stopnia Bazyliki Mniejszej. #BazylikaMorska,neutral
Jest i #Częstochowa!🙂 #Kidawa2020,positive
Gratuluję kolejnego zwycięstwa biało-czerwonym! Kibicujemy i trzymamy kciuki za Naszą reprezentację w dalszych eliminacjach do #Euro2020. POLSKA 🇵🇱🇵🇱🇵🇱 #POLLVA,positive
Razem z posłem Janem Warzechą zachęcam do akcji flaga Polski na 100 lecie odzyskania niepodległości.🇵🇱🇵🇱🇵🇱 #PL100 #100LecieNiepodległości #Niepodległa,positive
"Prezydenci i podkreślają strategiczne znaczenie naszego sojuszu. Modernizacja armii, zwiększenie obecności USA w PL i współpraca energetyczna to realizacja polskiej racji stanu. Dzięki zaangażowaniu PAD stosunki polsko-amerykańskie są najlepsze w historii.",positive
"Wiadomo, Puck💪🏻",positive
"vel ""caryca' w akcji.😂🤣😂",ambiguous
Noworoczne spotkanie z w #PałacPrezydencki 🇵🇱 Wśród wielu życzeń jedno powtarzało się szczególnie często. Przed nami pracowity rok i kolejne bardzo ważne wybory. Jesteśmy zmotywowani i gotowi 💪🏻 Nasz cel to #Duda2020 🗳,positive
Za chwile w #PolskieRadio24 będziemy rozmawiać o nauce m.in. o centrach Maxa Plancka w Polsce,neutral
teraz prawdziwymi Holendrami gdy idzie o styl gry są raczej... Rosjanie...,ambiguous
Egzaminy gimnazjalne w świętochłowickich szkołach w dniach 10 i 11 kwietnia br. odbędą się zgodnie z planem. Trwają jeszcze prace nad przygotowaniami do egzaminu gimnazjalnego z języka obcego zaplanowanego na piątek -&gt,neutral
#wotumnieufnosci,negative
"7 powiatów, 2500 budynków, ogrom powalonych drzew na drogi, 5000 strażaków tej nocy!!!",positive
"Ciekawe jak podskoki ambasadora mają się do protokółu dyplomatycznego. Dyplomacja ""brzydkiej panny"" na wydaniu.",negative
"Św. Jan Paweł II Wielki. Co to tak naprawdę będzie znaczyć dla Polaków? Czy Jego nauczanie trafi do naszych serc i umysłów? Ja wierzę, a Ty?",positive
"Urząd Gminy Wartkowice - Aktualności - ,,Plony naszej Ziemi˝",neutral
Dzień dobry #Wrocław 😀 ... w drodze wesołym #DudaBus 🚌 do #Milicz 😎 do zobaczenia! #NaszDuda #JarosławDuda #KoalicjaEuropejska 🇵🇱🇪🇺,positive
Chyba wspólnie z korwinem wąchali te skarpetki bo odlecieli.,negative
#Hejtminiegra Cały sercem wspieram akcję Jurek Owsiak i WOŚP! Musimy mówić głośne nie hejtowi i mowie nienawiści!,positive
O 16.00 będę gościem Telewizji #Polsatnews. Zapraszam do oglądania,positive
"Warto pamiętać także o żydowskich mieszkańcach naszych ziem, także w kontekście bieżącej polityki historycznej. Nie zapominajmy o tym, że również Polacy byli ofiarami zarówno komunizmu, jak i niemieckiego nazizmu.",positive
"Andrzej Duda: Chciałbym, by został wybrany rząd, który podejmie dzieło naprawy Polski. ""Nie jest...",positive
"ten festiwal rozpoczął się w momencie powołania IPN, jednostki na specjalnych prawach i uprzywilejowanej finansowo :(",negative
Witam wszystkich !!! Zapraszam do komentowania mojego Twittera i na stronę :,positive
Od soboty 13 czerwca będzie można swobodnie podróżować i przekraczać granice wewnętrzne Unii Europejskiej. Więcej ➡,neutral
Weekend nie zwalnia z prezydenckich obowiązków. Ten jest jednak wyjątkowo przyjemny😊. 100 lat Młodej Parze👰🤵!,positive
"Sytuacja Cypru potwierdza, że tzw. ""zielone wyspy"" to farbowane lisy. A miało być tak pięknie...",negative
"Uchwały poszczególnych sądów to krok chroniący obywateli przed prawnym chaosem jaki mogłoby wywołać powoływanie kolejnych sędziów przez upolitycznioną KRS. Już teraz jest takich sędziów ok. pół tysiąca, wydali oni ponad 70 000 wyroków. Chaos prawny z winy polityków PiS narasta..",negative
"i nowe taxi na Podkarpacie? Czy jednak nówka nie śmigana 'fura""dla ?",negative
"Opozycja totalna zamierza rozkręcać na cały Świat akcję na temat ""odradzającego się w Polsce faszyzmu"". Szykowane są konferencje prasowe i projekty uchwał. Albo są tak głupi, że z nienawiści do PiS niszczą własną Ojczyznę albo wprost są narzędziami obcych państw na terenie RP.",negative
"🎥 Wspólna konferencja prasowa z Wicepremier , Ministrem , Wiceministrem , Prezesem G. Uścińską oraz Prezesem R. Andrzejczykiem w dotycząca #BonTurystyczny. 🇵🇱 Razem działamy dla dobra polskich rodzin. 👨‍👩‍👧‍👦",positive
I to była koszykówka 🏀,positive
"#SprawaPolek Jeśli ktoś nie pamięta, to dla przypomnienia...",ambiguous
#PiS tworzy nam państwo wyznaniowe!!! #ZamachLipcowy #PiSniszczyPL Zapisy w projekcie ustawy zniszczą #WolnaPolska #WolniPolacy,negative
Każdy odpowiada za siebie. Czasem przyda się trochę autocenzury i chwila zastanowienia zanim coś się wrzuci w obieg publ. i wywoła aferę 2/2,negative
"Już za dwa dni zaczniemy szkolenie #NarodowyLider. Będziemy prowadzić formację ideową, organizacyjną i praktyczną przydatną w działalności struktur lokalnych. Będą reprezentanci 12 województw. Przygotowujemy #RuchNarodowy bo widać, że jesteśmy potrzebni i będziemy coraz bardziej.",positive
"Na jednej burcie napis jest po polsku (od wejścia), na drugiej stronie po angielsku. Jest to wzór stosowany na świecie.",neutral
Wideokonferencja z przedstawicielami wojewódzkich urzędów pracy. #TarczaAntykryzysowa #MRPiPS,neutral
Czy wszyscy odpoczęli po weekendzie?,positive
Nasza mocna drużyna #KoalicjaEuropejska #WielkiWybór,positive
"O godz. 21:40 będę gościem programu ""Polski Punkt Widzenia"" na antenie . Zachęcam do oglądania!",positive
"Uff...jeszcze rok i Z.Ziobro będzie na szczęście już tylko BYŁYM posłem, ministrem, europosłem...możemy zacząć odliczanie",positive
jako pracownik wyrażam zaniepokojenie o żołądek mojego pracodawcy....,negative
nie. Po prostu jest czujny:),ambiguous
"Rozmawialiśmy o różnicy między wynikiem a jego przewidywaniami, nie o skali miast.",neutral
"niebo jest tu tak czyste, ze wszystko sie w nim odbija :) — in Marseille, Provence-Alpes-Cote d'Azur, France",positive
"Świnoujście buduje formę na lato! Na powietrzu jest najzdrowiej i najbezpieczniej. Mamy dobrą infrastrukturę sportową, której wciąż przybywa 🏀🏸⚽🚴🧗🤾🏊i potężne, ""zielone płuca"". W 90% nasze wyspy porasta zieleń. Ja od lat wybieram tutaj tenis 🎾 #nowypoczatek #turystyka",positive
#Kowalczyk Prezydent jest gwarantem prowadzenia obecnej polityki społecznej. Opozycja nie ma moralnego prawa do krytykowania naszej polit. zdrowotnej w obliczu 50 proc. wzrostu wydatkow na ochronę zdrowia.,ambiguous
Pytanie jest jedno. Był w Crocsach czy nie? 🐊🐊,ambiguous
"Ministerstwo Infrastruktury i Budownictwa (MIB) przekonuje, że od listopada ub.r. podpisano z wykonawcami 26 umów...",neutral
"Wicepremier Sasin: ""nie ma możliwości zablokowania importu węgla z Rosji"". Przez 3 lata firmy związane z Kremlem zarobiły na eksporcie węgla do PL 3,4 mld zł, a polscy rolnicy nie mogą sprzedać w Rosji nawet jednego jabłka. Na embargo stracili min. 3 mld EUR a PiS nie robi nic",negative
"Hm... Pierwsze słyszę, ale chyba nic to.",neutral
Najgorszy koszmar opozycji. Biała flaga już wywieszona? #Duda2020 #PrezydentPolskichSpraw,ambiguous
lampy ledowe na Nysy Łużyckiej już świecą! Widać różnicę :-) w kosztach eksploatacji też ją miasto odczuje! Czas na kolejne ulice.,positive
Zobacz ten film -- Idź i głosuj świadomie! 1 via,positive
T. Piketty: Potrzebujemy państwa opiekuńczego nie zamordystycznego #Lewica #Polska2020 #Świat2020 #polityka,ambiguous
"2/3 Jeśli w tym przypadku zaszło podejrzenie o popełnieniu jakiegokolwiek przestępstwa, to jestem przekonany,",neutral
Poranna rozmowa w - między innymi o skutkach silnego wiatru który pojawił się w nocy nad Małopolską,neutral
➡️ Komentarz dla #TVPBiałystok w temacie wyników wyborów w województwie podlaskim dla poszczególnych komitetów #Lewica #ŁączyNasPrzyszłość ✌,positive
"Krótka przypowieść o normalności - czyli papież w ławce na Mszy Świętej, tak po prostu, wśród ludzi. Pokażcie mi niektóre koronowane głowy polskiego Kościoła.",ambiguous
"Moja opinia o kolejnej części ""raportu"" #Macierewicza, zapraszam na bloga",negative
Na spotkaniu członków SITG też rozmawiamy o #popieramKomorowskiego,positive
Składam szczere wyrazy współczucia dla rodzin ofiar zamachów terrorystycznych w Paryżu. Jesteśmy dziś z Francuzami myślą i modlitwą.,positive
"Dla poprzedniej władzy kluczowy był rozwój dużych metropolii, a mniejsze miasta pozostawały na uboczu inwestycji i rozwoju. Zmiana strategii wzrostu na zrównoważoną sprawia, że tysiące miast, miasteczek może iść do przodu.",positive
Koniec z mafiami drenującymi Polskę. Opozycja nam w tym nie przeszkodzi.,positive
Jednym z podstawowych plusów ordynacji wiekszościowej jest jej wpływ na charakter partii politycznych. Partyjna ordynacja skutkuje autorytarnym charakterem partii. Ordynacja większościowa- konsensualnym.,neutral
Człowiek się całe życie uczy...,ambiguous
Proszę serdecznie pozdrowić mamę.,positive
Coraz bliżej decyzji Rady Warszawy o trwałym usunięciu komunistycznego pomnika Czterech Śpiących. Działamy.,positive
Viktor Orban: Nikt nie ma prawa mówić nam jak maja wyglądać rządy prawa ! Dziekuje Polsko. #SzczytUE,positive
"Wczoraj odwiedziłem powiat jarosławski (Łazy, Radymno, Skołoszów). Chcemy służyć Polsce z myślą o przyszłych pokoleniach. Wywiązaliśmy się z naszych obietnic. Dlatego hasło kampanii wyborczej jest uzasadnione. Dzisiaj kolejne spotkania. #DotrzymujemySłowa #UczciwySamorząd",positive
"10 lat temu opuścili na zawsze sejmowe ławy i udali się w ostatni lot. Niosła ich Polska, tak jak niosła tych, którym mieli oddać hołd na katyńskim cmentarzu. Pozostała nasza pamięć. #Smoleńsk 10.04.2010 - 10.04.2020 #Pamiętamy",positive
ale wcześniej był debel! Miłego dnia!,positive
"#PolishRadioLondon Jeżeli chcecie i jesteście gotowi - wracajcie. My na was czekamy, tęsknimy. Wiem jaką niepewność wywołał #Brexit. Ale Polacy nie powinni wracać z jednej niepewności do drugiej. Trzeba zacząć myśleć o zmianach systemowych, które pozwolą na bezpieczny powrót.",positive
yyy a co w tym dziwnego? Jest doktorem habilitowanym. Zwyczajowo na takie osoby mówi się per profesor.,ambiguous
Oglądałem. Trzymam!,positive
"A po co? Szukajcie ""kretów"". Polityka to nie moja sprawa, niezależnie od przynależności partyjnej to fajni ludzie są.",positive
Życzę dużo sił i wytrwałości,positive
"Wśród zwycięzców warszawskiej edycji #BudzetObywatelski takie skarby jak sala rehabilitacyjna dla zwierząt w schronisku ""Na Paluchu"" czy prawie 1 mln zł na ochronę najbardziej wiekowych drzew autorstwa . #Warszawa wybiera zielone projekty 💚 Gratulacje! 👏👏👏",positive
"Wszystkim myśliwym i leśnikom, w dniu szczególnym, dniu Naszego Patrona - św Huberta - pragnę złożyć najlepsze życzenia. 👉Dziękuję za oddanie i ciężką pracę na rzecz polskiego łowiectwa oraz leśnictwa. Darz Bór 👍",positive
Słoneczko zaświeciło..... trzeba zabrać się do pracy :-),positive
Duńskie prawo o odbieraniu pieniędzy migrantom to b. smutna decyzja. Akurat w Miedzyn Dzień Ofiar Holokaustu paralela nasuwa się sama...,negative
"Jarosław Kaczyński: Równouprawnienie kobiet; w tym płace i traktowanie, to poglądy konserwatywne, odwołujące się do cywilizacji chrześcijańskiej – najbardziej życzliwej człowiekowi #RówneTraktowanie #PrawaKobiet",positive
"Zachęcam do zapoznania się z ideami ruchu „Obywatele do Senatu”, w którym mam przyjemność działać: www.obywateledosenatu.pl",positive
dzięki:) witam serdecznie :),positive
Ja jestem jak dobre wino. Nie każdy się zna i nie każdego stać 😀😛😂,positive
Polak Mały,ambiguous
"Ja jestem z Warszawy, dlatego było mi łatwiej, ale podziwiam te wszystkie osoby, które przyjechały z całej Polski. Zapłacili nam, tak - obiadem w przerwie 😁 pozdrawiam",negative
"Jestem w stałym kontakcie z lekarzami zakaźnikami , epidemiologami, anestezjologami oraz dyrektorami szpitali i NFZ , by na bieżąco reagować na pojawiające się potrzeby.",neutral
To jest tylko deklaracja woli. Sprawa faktycznego przyjęcia zależeć będzie od władz centralnych.,neutral
"„Odkryliśmy też, że na FB deklaruje poparcie dla Putina”. A nie, No to wszystko tłumaczy. Nie przeszkadzajcie sobie. Róbcie dalej ten swój #EuroWeek... Tak wygląda zmiękczanie i rozmywanie odpowiedzialności w GW.",negative
"Polska może być lepiej reprezentowana w PE. Mamy dobry odważny, realny plan działania. #KonwencjaPiS #PolskaSercemEuropy",positive
"Sam sfinalizowałem. Ze swoich zarobionych pieniędzy w Norwegii, Czechach i w Polsce. Żadnych rubli jak Ty - nigdy nie widziałem mój ulubiony hejterze. Tschüss!",negative
Nie to zagadka logiczna: w którym kredensie i w którym mieszkaniu? Podaj prawidłową odpowiedź 😀 masz 6 prób🤔,ambiguous
Radni PO kasują wszystkie poprawki PiS do projektu budżetu na rok 2015.,neutral
Oj chyba komisja #AmberGold albo #KomisjaWeryfikacyjna są bardzo blisko niewygodnej dla prawdy ...,ambiguous
"Opinia publiczna w państwach UE zaczyna się przyzwyczajać do myśli, że rząd PiS wyprowadza Polskę z Unii",negative
Konferencja prasowa delegacji PO-PSL w Parlamencie Europejskim w sprawie dzisiejszej debaty o praworządności i...,neutral
Po co tworzyć partnerstwo dla współrządzenia Europą jak można powygrażać od hitlerowców i pomarzyć o reparacjach?,negative
Opatów. Powiatowe Święto Policji.,neutral
"mam nadzieję, że nie wezmą z Was przykładu i nie dokończą grabieży #OFE",negative
Trwa wywiad premier Beaty Szydło w Radiu Maryja...,neutral
To jest NIEWIARYGODNE! Minister/ premier nawet ma coś w tej sprawie do powiedzenia?! Czy tylko będzie pokrzykiwał jak zwykle?,negative
"Fruitful meeting with , a new caretaker of , who’s taken the seat after Christine . Bardzo ciekawe spotkanie delegacji z nową szefową Międzynarodowego Funduszu Walutowego. Pierwszą przedstawicielką naszego regionu na tym stanowisku.",positive
#debatajedynki #jedynka #polskieradio #czarnek,neutral
Wygląda nieciekawie👎🏻,negative
Grzegorz Braun: Naprzód Polsko! Zarządzajmy narodową werwą w miejsce obecnego zarządzania strachem! - YouTube,positive
"przecież cała akcja ma miejsce NA SALI KOLUMNOWEJ, czyli dziękuje za potwierdzenie informacji ze każdy mógł wejść",negative
"XXIV Ogólnopolska Olimpiada Młodzieży w sportach halowych. Etap rozgrywek w piłkę siatkową, który miał miejsce w Pile dobiega końca. Wielkopolska reprezentacja na 3. miejscu. W finale walczą drużyny województw: śląskiego ąskiego i pomorskiego.",neutral
"Stanisław Jerzy Lec. Gdy zapachniały fiołki rzekło łajno: ""No cóż, działają tanim kontrastem!""/""rok 2015"" ; dopisek mój: Sz.G./.",negative
Z www już też działa. Dzięki za czujność,positive
"Rok temu, w tym wyjątkowym dniu, razem z radnym odwiedziliśmy por. Mieczysława Wroczyńskiego - uczestnika Powstania Warszawskiego, mieszkającego w #Białystok. Niestety, ze względu na pandemię w tym roku nie mogliśmy się spotkać, dlatego wysłałem do niego list.",positive
Z pozdrowieniami dla pewnego księdza...,negative
Trwa konferencja prasowa Pana Premiera Mateusza Morawieckiego i Prezesa NBP Adama Glapińskiego na temat #TarczaFinansowa,neutral
Za chwilę zaczynamy #Konwencja Jest moc #NastępnyKrok,positive
"Polska pod rządami PiS- dr Czesław Siekierski, prof. Kazimierz Kik:",neutral
🎄Dziś świątecznie 🎄 w ✅ MINISTERSTWIE ZDROWIA 🇵🇱 z Panem Ministrem Łukaszem Szumowskim oraz Panią Minister Józefą Szczurek-Żelazko i Ministrem Waldemarem Kraską🇵🇱.,positive
"My w Poznaniu , w Warszawie.Manifestacje w wielu miastach „Przeciw nacjonalizmowi,za Zjednoczoną Europą”#EuropeanSolidarity",positive
Zdezelowanym? Ale był po przeglądzie technicznym? Bo brzmi to dość nierozsądnie i niebezpiecznie. Zawsze też mozna skorzystać z kolei europejskich. W przeciwieństwie do Polski inne kraje Unii inwestują w ekologiczne rizwiazania transportowe.,negative
