text,anotacja - Filip,anotacja - Kacper,anotacja - Piotr,anotacja - Szymon
"Szefowa Grupy S&amp;D pisze w liście do Pani von der Leyen, że socjaliści i demokraci nie są jeszcze gotowi przyjąć stanowiska w sprawie wyboru na przewodniczącą Komisji Europejskiej. Grupa oczekuje zajęcia stanowiska w kwestiach poruszonych w liście. W PE zaczyna się ważny tydzień.",neutral,neutral,neutral,ambiguous
Dziś piękna rocznica.✌️🎆🎇 1️⃣4️⃣lat temu spełniło się marzenie paru pokoleń. 👦👧👩👩👴👵 Weszliśmy do Unii Europejskiej.🇵🇱🇪🇺♥️,positive,positive,positive,positive
Kocham ❤️,positive,positive,positive,positive
"Młodzieżówka , której przedstawiciele odwiedzili dziś moje biuro poselskie w Gnieźnie, ostatecznie przyznała mi rację: niektórzy członkowie Brygady Świętokrzyskiej NSZ współpracowali z Niemcami. Nie zgadzajmy się na fałszowanie historii!",ambiguous,neutral,ambiguous,positive
No to pojedziemy do spożywczaka po jakąś petardę i Sylwetsra czas zacząć!,ambiguous,positive,positive,ambiguous
lub czekają na orędzie :),neutral,ambiguous,neutral,ambiguous
"Z tej wiadomości się bardzo ucieszyłem. Nadbrygadier Adam Konieczny został zastępcą komendanta głównego Państwowej Straży Pożarnej. To dokonały profesjonalista w swoim fachu i świetny, godny zaufania człowiek. Adamie, serdecznie Ci gratuluję i życzę samych sukcesów",positive,positive,positive,positive
Opozycja jakaś niewyraźna. ...,ambiguous,negative,negative,negative
1. UWAGA: Utworzenie Europejskiego Funduszu Walutowego - Komisja Europejska zaproponowała stworzenie w UE nowych instrumentów budżetowych dla strefy euro.,neutral,neutral,neutral,neutral
👉Premier : Podjęliśmy decyzję o odwołaniu wszystkich imprez masowych.,neutral,neutral,neutral,neutral
"Dobrze, że sprawa będzie wyjaśniana, tego to dotyczy. Z problemów się nie cieszę.",ambiguous,positive,ambiguous,ambiguous
"Chętnie poznamy Pana/Pami receptę na to jak „zadbać”, a własne badania zamówimy z ochotą. Jeśli chce mieć Pan/Pani w tym swój udział, serdecznie zachęcamy do odwiedzenia adresu 💛",neutral,positive,neutral,ambiguous
"Podpisałem decyzję, która rozszerza zakres pomocy udzielanej podmiotom leczniczym przez WOT m. in. w kwestii awaryjnej dostawy energii czy zabezpieczenia teleinformatycznego. Wojsko uruchomi także kolejne mobilne laboratorium, które będzie wykonywać testy na obecność #koronawirus",neutral,neutral,neutral,positive
Konferencja prasowa w Parlamencie Europejskim po wysłuchaniu publicznym w sprawie ustawy represyjnej dotyczącej emerytów mundurowych. #SLD #PrzywrócimyNormalność #ZawszeBliskoLudzi,neutral,neutral,neutral,positive
"Dziękuję z całego serca za te słowa i za wsparcie, na jakie zawsze mogę liczyć! Pozdrawiam serdecznie Panie Zbyszku ❤️",positive,positive,positive,positive
"Jak Czesi mogą mieć Złotów Lichtenstein brąz na Olimpiadzie w narciarstwie, to Polska też ma szanse. Okazuje, że...",neutral,positive,neutral,ambiguous
"obchodzi okrągłe urodziny, do świętowania których zaprasza wszystkich mieszkańców Stolicy :)",neutral,positive,positive,positive
czy fakt że Ukraina nadal utrzymuje embargo na Polską wieprzowinę mieści się w kategorii kompromitacji dyplo..,ambiguous,negative,negative,negative
"O Lubelskim Pakiecie Antykryzysowym, a także o nowym narzędziu przygotowanym przez samorząd województwa dla przedsiębiorców i pracodawców z naszego regionu opowiem w Programie ""To nas dotyczy"".",neutral,neutral,neutral,neutral
"Z liderem #KoalicjaEuropejska i Przewodniczącym Rady Europejskiej na marszu #PolskawEuropie! ✌ Pamiętajcie, 26 maja wybory do Parlamentu Europejskiego! 🇵🇱🇪🇺",neutral,neutral,neutral,positive
Jaka praca taka płaca,ambiguous,ambiguous,neutral,ambiguous
BOR nie chroni już kancelarii prezydenta. Strzeże ją prywatna firma. To nie lepiej sprywatyzować BOR?,neutral,neutral,ambiguous,negative
Tychy w pierwszej dwudziestce rankingu samorzadow Rzeczpospolitej!,positive,positive,positive,positive
"Platforma Obywatelska chce przejąć władzę w Polsce, by nie było słychać o żadnych aferach związanych z politykami tej partii.",negative,negative,negative,negative
szybko do psychiatry,ambiguous,ambiguous,neutral,negative
W Pulsie Dnia o Dniu Godnej Pracy i umowach śmieciowych. Początek materiału 05:15.,neutral,neutral,neutral,neutral
Żerowanie i wykorzystywanie przez opozycję osób chorych na raka do bieżącej gry politycznej jest wyjątkowo podłym i nikczemnym zabiegiem. Działania opozycji i sprzyjającym im mediom są całkowicie odhumanizowane i zioną bezdusznością.,negative,negative,negative,negative
Krótko w temacie 😉,ambiguous,positive,positive,positive
"Podkreśliłem w rozmowie Marszałkiem Borusewiczem, że nigdy nie poddam się dyscyplinie partyjnej. Będę dbał o swoją niezależność. #radiocentrum",neutral,neutral,neutral,neutral
"To jednak niesamowite. Lekarz to jednak i polityk jednocześnie. Kpi o doniesieniach o braniu pieniędzy od pacjentów - ""zarzuty zza światów"". POgarda PO.",ambiguous,negative,negative,negative
Smutne to dla nas dni. Jako Naród straciliśmy Wielkiego Patriotę i prawdziwego Męża Stanu. Niech spoczywa w pokoju (*),negative,negative,negative,negative
"Dzięki polityce rządu wieś stała się wreszcie równoprawnym obszarem w polityce państwa - i w gospodarczej, i w społecznej.",positive,positive,positive,positive
"Dziękuję Wam, kochani ❤",positive,positive,positive,positive
jest uosobieniem idei Trójmorza. Idei dzięki której zdobywamy zaufanie naszych partnerów z regionu i jesteśmy reprezentantem interesów tej części Europy. #Duda2020 #Trójmorze,positive,positive,positive,positive
"Dziękuję wszystkim, którzy odwiedzili mojego bloga i dokonali wpisów na forum, a muszę przyznać, że było ich sporo",positive,positive,positive,positive
Zawsze zależało na zastraszeniu.,ambiguous,neutral,neutral,negative
"Gala Sportowiec Roku I miejsce Paweł Fajdek KS Agros Zamość👏👏, II miejsce Aleksandra Mirosław KW Kotłownia👏 III miejsce Wiktor Lampart 👏Gratulacje dla wszyatkich lauratów 👏👏",positive,positive,positive,positive
"To od wielu już lat miasto zarządzane przez lewicę, więc zapraszam, jest dobra atmosfera!",positive,positive,positive,positive
Wierutna bzdura! Proszę zajrzeć do sali 14 w budynku G. #dalejpracujemy #blokadaTK,ambiguous,negative,ambiguous,ambiguous
❗️Zakończyliśmy głosowania nad poprawkami do ustawy o szczegółowych zasadach organizacji wyborów Prezydenta RP. Teraz ustawa trafi na biurko Pana Prezydenta. Czas obstrukcji senackiej wreszcie dobiegł końca☝️👏 ”Wybory hybrydowe” coraz bliżej🗳✉️ ✌️,ambiguous,positive,neutral,positive
"#TarczaAntykryzysowa chroni wszystkich, nikogo nie pozostawiamy bez pomocy: ani organizacji pozarządowych, ani osób samozatrudnionych, dużych przedsiębiorstw ani małych firm #Krosno #RówneTraktowanie",neutral,positive,neutral,positive
Dziś wybory do Izb rolniczych idźcie głosować ❎ to ważne,neutral,positive,neutral,positive
"Wiele pokoleń Polaków marzyło o wolnej, bezpiecznej i zasobnej Polsce, będącej częścią wspólnoty wolnych i demokratycznych państw. To wielkie marzenie zrealizowało się za naszego życia. Dorobek tych 16 lat jest wielki, trudno go przecenić. Polska tak pięknie się zmieniła.",positive,positive,positive,positive
"Wysoki Marszałek czyli Wysoki Cenzor wyrzuca dziennikarzy z Sejmu.Dziennikarze służą społeczeństwu ,nie politykom.Trwa protest przed Sejmem",neutral,negative,negative,negative
"Z na małych,nocnych zakupach w Opolu ;-) #zyjpopolsku",neutral,positive,neutral,positive
"Z wizytą w Dębicy, gdzie powstaje nowa siedziba Zespołu Szkół Specjalnych. Inwestycja, która będzie służyć niepełnosprawnym, robi to ogromne wrażenie❗⚽️🏀 Dziękuję za zaproszenie i gościnność Panu Staroście Piotr Chęciek oraz Posłowi Jan Warzecha #ZaprogramowaniNaSport #Dębica",positive,positive,positive,positive
wyjazd nie był finansowany z pieniędzy miasta Wodzisław śląski,neutral,neutral,neutral,neutral
"#debataprezydencka oby Trzaskowski nie walił za bardzo pięścią w stół, bo może znowu coś wypłynie z „Czajki”😂",ambiguous,ambiguous,ambiguous,negative
"Może sobie Pan poczyta dane ornitologiczne. Ponad 3,5 MILIARDA ptaków jest zabijanych na świecie przez koty. Naprawdę nie lubię bezmyślności",negative,negative,negative,negative
Jeszcze takie autorstwa,ambiguous,neutral,neutral,ambiguous
"Gratulacje dla . Po QS Ranking, gdzie aż 14 polskich uczelni weszło do Top 1000, kolejny dowód na szybki rozwój naszrj nauki.",positive,positive,positive,positive
wadliwe jak to? to co z tymi policjantami,ambiguous,ambiguous,ambiguous,ambiguous
witalność w Vitalny Domek !,ambiguous,positive,neutral,positive
"Wybieramy nowego przewodniczącego . Jestem przekonany, że dzisiejsza decyzja poprowadzi nas do zwycięstw, a pierwsze odniesiemy już w majowych wyborach prezydenckich z ✌🏻",neutral,positive,positive,positive
Co to za brednie?,negative,negative,negative,negative
Bolid studentów Politechniki Wrocławskiej wystartuje w USA - wDolnymŚląsku.pl,neutral,neutral,neutral,neutral
"Wysłałem/-am 2 zdjęć na Facebook do albumu ""Dolnośląscy parlamentarzyści z wizytą u Prezydenta RP""",neutral,neutral,neutral,neutral
#AnnaFotyga🇵🇱 uczestniczyła dzisiaj w uroczystości podniesienia gdyńskiej Kolegiaty pw. Najświętszej Maryi Panny Królowej Polski do stopnia Bazyliki Mniejszej. #BazylikaMorska,neutral,neutral,neutral,neutral
Jest i #Częstochowa!🙂 #Kidawa2020,ambiguous,positive,positive,positive
Gratuluję kolejnego zwycięstwa biało-czerwonym! Kibicujemy i trzymamy kciuki za Naszą reprezentację w dalszych eliminacjach do #Euro2020. POLSKA 🇵🇱🇵🇱🇵🇱 #POLLVA,positive,positive,positive,positive
Razem z posłem Janem Warzechą zachęcam do akcji flaga Polski na 100 lecie odzyskania niepodległości.🇵🇱🇵🇱🇵🇱 #PL100 #100LecieNiepodległości #Niepodległa,ambiguous,positive,positive,positive
"Prezydenci i podkreślają strategiczne znaczenie naszego sojuszu. Modernizacja armii, zwiększenie obecności USA w PL i współpraca energetyczna to realizacja polskiej racji stanu. Dzięki zaangażowaniu PAD stosunki polsko-amerykańskie są najlepsze w historii.",positive,positive,positive,positive
"Wiadomo, Puck💪🏻",ambiguous,positive,neutral,positive
"vel ""caryca' w akcji.😂🤣😂",ambiguous,ambiguous,ambiguous,ambiguous
Noworoczne spotkanie z w #PałacPrezydencki 🇵🇱 Wśród wielu życzeń jedno powtarzało się szczególnie często. Przed nami pracowity rok i kolejne bardzo ważne wybory. Jesteśmy zmotywowani i gotowi 💪🏻 Nasz cel to #Duda2020 🗳,positive,positive,positive,positive
Za chwile w #PolskieRadio24 będziemy rozmawiać o nauce m.in. o centrach Maxa Plancka w Polsce,neutral,neutral,neutral,neutral
teraz prawdziwymi Holendrami gdy idzie o styl gry są raczej... Rosjanie...,ambiguous,neutral,neutral,ambiguous
Egzaminy gimnazjalne w świętochłowickich szkołach w dniach 10 i 11 kwietnia br. odbędą się zgodnie z planem. Trwają jeszcze prace nad przygotowaniami do egzaminu gimnazjalnego z języka obcego zaplanowanego na piątek -&gt,neutral,neutral,neutral,neutral
#wotumnieufnosci,negative,negative,ambiguous,negative
"7 powiatów, 2500 budynków, ogrom powalonych drzew na drogi, 5000 strażaków tej nocy!!!",neutral,negative,neutral,ambiguous
"Ciekawe jak podskoki ambasadora mają się do protokółu dyplomatycznego. Dyplomacja ""brzydkiej panny"" na wydaniu.",ambiguous,negative,negative,negative
